name_ch,quality,per_unit_cost,per_unit_income,per_hour_cost,per_hour_income,10hour_cost,10hour_income,24hour_cost,24hour_income
∆˚”Õ,4,41.75,9.05,2386.847,517.388,23868.475,5173.885,57284.34,12417.324
∆˚”Õ,1,40.75,10.05,2037.908,502.6,20379.075,5026.005,48909.78,12062.412
∆˚”Õ,0,40.25,10.55,1910.668,500.808,19106.675,5008.085,45856.02,12019.404
∆˚”Õ,3,42.0,8.8,2303.7,482.68,23037.0,4826.8,55288.8,11584.32
≤Ò”Õ,4,42.25,8.11,2481.342,476.3,24813.425,4763.003,59552.22,11431.207
∆˚”Õ,2,41.75,9.05,2190.622,474.853,21906.225,4748.535,52574.94,11396.484
≤Ò”Õ,3,42.0,8.36,2366.28,471.002,23662.8,4710.024,56790.72,11304.058
≤Ò”Õ,2,41.75,8.61,2249.49,463.907,22494.9,4639.068,53987.76,11133.763
∆˚”Õ,5,43.0,7.8,2555.49,463.554,25554.9,4635.54,61331.76,11125.296
≤Ò”Õ,1,41.75,8.61,2143.863,442.123,21438.625,4421.235,51452.7,10610.964
≤Ò”Õ,0,41.5,8.86,2022.295,431.748,20222.95,4317.478,48535.08,10361.947
≤Ò”Õ,5,44.75,5.61,2731.987,342.49,27319.875,3424.905,65567.7,8219.772
