name_ch,quality,per_unit_cost,per_unit_income,per_hour_cost,per_hour_income,10hour_cost,10hour_income,24hour_cost,24hour_income
经济燃油车,2,2240.0,576.58,2374.4,611.175,23744.0,6111.748,56985.6,14668.195
豪华电动车,5,7000.0,1835.01,2170.0,568.853,21700.0,5688.531,52080.0,13652.474
豪华燃油车,4,4710.0,1824.06,1413.0,547.218,14130.0,5472.18,33912.0,13133.232
经济电动车,3,3450.0,522.79,3588.0,543.702,35880.0,5437.016,86112.0,13048.838
豪华电动车,3,6975.0,1860.01,2022.75,539.403,20227.5,5394.029,48546.0,12945.67
豪华燃油车,2,4690.0,1844.06,1360.1,534.777,13601.0,5347.774,32642.4,12834.658
豪华电动车,2,6900.0,1935.01,1863.0,522.453,18630.0,5224.527,44712.0,12538.865
经济电动车,2,3440.0,532.79,3336.8,516.806,33368.0,5168.063,80083.2,12403.351
经济电动车,5,3550.0,422.79,4189.0,498.892,41890.0,4988.922,100536.0,11973.413
经济电动车,4,3540.0,432.79,3929.4,480.397,39294.0,4803.969,94305.6,11529.526
经济燃油车,4,2420.0,396.58,2879.8,471.93,28798.0,4719.302,69115.2,11326.325
豪华电动车,0,6875.0,1960.01,1650.0,470.402,16500.0,4704.024,39600.0,11289.658
豪华电动车,4,7300.0,1535.01,2190.0,460.503,21900.0,4605.03,52560.0,11052.072
经济燃油车,3,2410.0,406.58,2699.2,455.37,26992.0,4553.696,64780.8,10928.87
经济燃油车,5,2470.0,346.58,3087.5,433.225,30875.0,4332.25,74100.0,10397.4
豪华电动车,1,7200.0,1635.01,1872.0,425.103,18720.0,4251.026,44928.0,10202.462
豪华燃油车,0,5000.0,1534.06,1350.0,414.196,13500.0,4141.962,32400.0,9940.709
经济电动车,1,3520.0,452.79,3132.8,402.983,31328.0,4029.831,75187.2,9671.594
经济燃油车,0,2380.0,436.58,2189.6,401.654,21896.0,4016.536,52550.4,9639.686
经济燃油车,1,2420.0,396.58,2395.8,392.614,23958.0,3926.142,57499.2,9422.741
经济电动车,0,3530.0,442.79,2859.3,358.66,28593.0,3586.599,68623.2,8607.838
卡车,3,6075.0,500.12,3523.5,290.07,35235.0,2900.696,84564.0,6961.67
卡车,2,6175.0,400.12,3396.25,220.066,33962.5,2200.66,81510.0,5281.584
卡车,1,6150.0,425.12,3136.5,216.811,31365.0,2168.112,75276.0,5203.469
卡车,4,6300.0,275.12,3906.0,170.574,39060.0,1705.744,93744.0,4093.786
卡车,0,6250.0,325.12,2937.5,152.806,29375.0,1528.064,70500.0,3667.354
卡车,5,6350.0,225.12,4127.5,146.328,41275.0,1463.28,99060.0,3511.872
